 2.765232000000e+08	  1.06794459	0
 2.765232000000e+08	  3.28909082	6
 2.765232000000e+08	  9.44412098	6
 2.765232000000e+08	 23.66818761	6
 2.765232000000e+08	 47.49035299	6
 2.765232000000e+08	 84.72428198	6
 2.765232000000e+08	137.48145472	6
 2.765232000000e+08	207.98230033	6
 2.765232000000e+08	342.08884330	6
 2.765232000000e+08	520.37660945	7
 2.765232000000e+08	682.68142094	7
 2.765232000000e+08	960.55824602	8
 2.765232000000e+08	1152.91426614	8
 2.765232000000e+08	1547.29383219	8
 2.765247472938e+08	1724.10883111	8
 2.765264714027e+08	1990.79050946	4
 2.765284621932e+08	2254.90263143	4
 2.765307170958e+08	2555.77175174	4
 2.765332728676e+08	2598.30814011	4
 2.765358711757e+08	2630.27878940	4
 2.765385014545e+08	2524.47167570	4
 2.765410259262e+08	2368.91716293	3
 2.765433948433e+08	2222.50640760	4
 2.765456173497e+08	2219.86665155	3
 2.765478372164e+08	2205.12646657	4
 2.765500423428e+08	2087.02425284	3
 2.765521293671e+08	1972.82288854	3
 2.765541021900e+08	1988.64458166	3
 2.765560908346e+08	1884.80716375	3
 2.765579756417e+08	1863.20118488	3
 2.765598388429e+08	1802.44884176	3
 2.765616412918e+08	1709.90789645	3
 2.765633511997e+08	1669.02696948	3
 2.765650202266e+08	1635.14519701	3
 2.765666553718e+08	1573.94669238	3
 2.765682293185e+08	1482.05876004	3
 2.765697113773e+08	1449.13152539	3
 2.765711605088e+08	1422.17921849	3
 2.765725826880e+08	1386.63515461	2
 2.765739693232e+08	1319.56259291	3
 2.765752888858e+08	1287.18271006	2
 2.765765760685e+08	1264.66462116	3
 2.765778407331e+08	1219.43467532	3
 2.765790601678e+08	1172.04350835	2
 2.765802322113e+08	1141.97973931	2
 2.765813741910e+08	1093.13247788	2
 2.765824673235e+08	1070.51511911	2
 2.765835378386e+08	1017.98953507	2
 2.765845558282e+08	1002.66202814	2
 2.765855584902e+08	975.20404741	3
 2.765865336942e+08	938.54481413	3
 2.765874722390e+08	911.22277255	3
 2.765883834618e+08	872.66395855	2
 2.765892561258e+08	855.14654820	2
 2.765901112723e+08	835.81224738	2
 2.765909470846e+08	804.59069718	2
 2.765917516753e+08	780.44390264	2
 2.765925321192e+08	757.06966348	2
 2.765932891888e+08	736.58271663	2
 2.765940257716e+08	710.54306981	2
 2.765947363146e+08	687.45534189	2
 2.765954237700e+08	673.77921622	2
 2.765960975492e+08	652.27491975	2
 2.765967498241e+08	630.85889205	2
 2.765973806830e+08	611.12573850	2
 2.765979918087e+08	595.59647952	2
 2.765985874052e+08	577.87480541	2
 2.765991652800e+08	560.06422590	2
 2.765997253442e+08	541.40600735	2
 2.766002667502e+08	526.11716303	2
 2.766007928674e+08	511.80286520	2
 2.766013046703e+08	495.28627394	2
 2.766017999566e+08	481.29426420	2
 2.766022812508e+08	467.44644655	2
 2.766027486973e+08	453.88064836	2
 2.766032025779e+08	441.03486907	2
 2.766036436128e+08	428.04227704	2
 2.766040716551e+08	416.13244288	2
 2.766044877875e+08	404.01288583	2
 2.766048918004e+08	393.19774599	2
 2.766052849981e+08	380.67509032	2
 2.766056656732e+08	370.08475413	2
 2.766060357580e+08	359.79427547	2
 2.766063955523e+08	349.81072547	2
 2.766067453630e+08	339.90780392	2
 2.766070852708e+08	329.62385437	2
 2.766074148946e+08	321.28002768	2
 2.766077361747e+08	311.84236539	2
 2.766080480170e+08	303.15325202	2
 2.766083511703e+08	294.70647658	2
 2.766086458768e+08	286.60699800	2
 2.766089324838e+08	278.31545917	2
 2.766092107992e+08	271.05774083	2
 2.766094818570e+08	263.50897374	2
 2.766097453659e+08	255.73146050	2
 2.766100010974e+08	249.37639951	2
 2.766102504738e+08	242.03308428	2
 2.766104925069e+08	235.43213600	2
 2.766107279390e+08	228.90753424	2
 2.766109568465e+08	222.92045265	2
 2.766111797670e+08	216.67003245	2
 2.766113964370e+08	210.84717336	2
 2.766116072842e+08	204.93390914	2
 2.766118122181e+08	199.37141828	2
 2.766120115895e+08	194.33591387	2
 2.766122059254e+08	189.26757233	2
 2.766123951930e+08	183.94912333	2
 2.766125791421e+08	178.56964246	2
 2.766127577118e+08	174.18199757	2
 2.766129318938e+08	169.34088084	2
 2.766131012347e+08	 98.76534098	2
