2457329.500000000, A.D. 2015-Nov-03 00:00:00.0000,  5.793690310008615E+06,  3.908884367409393E+06,  1.484445847804569E+06, -8.341397797282077E-01, -1.296657719221081E+00, -9.892090532267428E-01,  2.383286956072746E+01,  7.144914546803865E+06, -1.591294037842224E+00,
2457330.500000000, A.D. 2015-Nov-04 00:00:00.0000,  5.723142458014816E+06,  3.797980485024095E+06,  1.399506269993074E+06, -7.991136557242697E-01, -1.270435997748265E+00, -9.769174000479399E-01,  2.338225615478991E+01,  7.009824046230095E+06, -1.535806658541922E+00,
2457331.500000000, A.D. 2015-Nov-05 00:00:00.0000,  5.655567183926493E+06,  3.689374710801065E+06,  1.315646101458251E+06, -7.653472714379461E-01, -1.243461971138835E+00, -9.642238473160800E-01,  2.294762201516161E+01,  6.879524009180212E+06, -1.480429081267602E+00,
2457332.500000000, A.D. 2015-Nov-06 00:00:00.0000,  5.590851284366727E+06,  3.583131496594921E+06,  1.232899699147388E+06, -7.329406056022840E-01, -1.215750869204140E+00, -9.511377270721164E-01,  2.252891283448973E+01,  6.753998154719422E+06, -1.425320877306180E+00,
2457333.500000000, A.D. 2015-Nov-07 00:00:00.0000,  5.528873157439604E+06,  3.479313378048852E+06,  1.151300418786950E+06, -7.019883351139349E-01, -1.187331174982408E+00, -9.376726714079737E-01,  2.212602646159180E+01,  6.633215858693647E+06, -1.370654119675451E+00,
2457334.500000000, A.D. 2015-Nov-08 00:00:00.0000,  5.469503183207065E+06,  3.377979958709210E+06,  1.070880285942115E+06, -6.725817445346003E-01, -1.158242060429387E+00, -9.238457673651510E-01,  2.173880951065544E+01,  6.517131137193171E+06, -1.316612248404349E+00,
2457335.500000000, A.D. 2015-Nov-09 00:00:00.0000,  5.412603928798914E+06,  3.279187011129975E+06,  9.916697055837512E+05, -6.448106719331861E-01, -1.128533163515041E+00, -9.096774846980846E-01,  2.136705407558873E+01,  6.405681661539664E+06, -1.263390236777157E+00,
2457336.500000000, A.D. 2015-Nov-10 00:00:00.0000,  5.358030221662581E+06,  3.182985517022252E+06,  9.136971513801441E+05, -6.187644815469078E-01, -1.098266103148660E+00, -8.951921783828389E-01,  2.101049437275361E+01,  6.298787751802973E+06, -1.211194714970479E+00,
2457337.500000000, A.D. 2015-Nov-11 00:00:00.0000,  5.305629204100251E+06,  3.089420529293522E+06,  8.369887958935276E+05, -5.945314554949590E-01, -1.067516946278740E+00, -8.804189077222206E-01,  2.066880349088814E+01,  6.196351402452335E+06, -1.160242942458616E+00,
2457338.500000000, A.D. 2015-Nov-12 00:00:00.0000,  5.255240517756388E+06,  2.998529810953289E+06,  7.615680665804446E+05, -5.721963924364282E-01, -1.036378761030036E+00, -8.653922870268183E-01,  2.034159070032867E+01,  6.098255475681474E+06, -1.110759861391514E+00,
2457339.500000000, A.D. 2015-Nov-13 00:00:00.0000,  5.206696767571896E+06,  2.910342279590294E+06,  6.874551367786899E+05, -5.518366035812470E-01, -1.004963441769977E+00, -8.501530994393933E-01,  2.002839993086990E+01,  6.004363245082518E+06, -1.062972926330725E+00,
2457340.500000000, A.D. 2015-Nov-14 00:00:00.0000,  5.159824382661462E+06,  2.824876348055512E+06,  6.146663813105077E+05, -5.335168380092767E-01, -9.734022158194939E-01, -8.347484786761488E-01,  1.972871003953727E+01,  5.914518475922155E+06, -1.017104932061002E+00,
2457341.500000000, A.D. 2015-Nov-15 00:00:00.0000,  5.114444937012777E+06,  2.742138287895203E+06,  5.432138382414430E+05, -5.172838276074287E-01, -9.418446060180194E-01, -8.192315832636927E-01,  1.944193735866642E+01,  5.828546189036634E+06, -9.733654941157769E-01,
2457342.500000000, A.D. 2015-Nov-16 00:00:00.0000,  5.070376936200783E+06,  2.662120744984478E+06,  4.731047193795219E+05, -5.031610262344657E-01, -9.104559924769653E-01, -8.036608095748621E-01,  1.916744079533593E+01,  5.746254189603235E+06, -9.319419908472079E-01,
2457343.500000000, A.D. 2015-Nov-17 00:00:00.0000,  5.027438040766329E+06,  2.584801514725417E+06,  4.043410048861727E+05, -4.911437632156321E-01, -8.794140934901158E-01, -7.880986485293944E-01,  1.890452954212520E+01,  5.667435378767326E+06, -8.929905646663245E-01,
2457344.500000000, A.D. 2015-Nov-18 00:00:00.0000,  4.985447695734322E+06,  2.510142661035299E+06,  3.369191497844607E+05, -4.811946350082827E-01, -8.489045180907393E-01, -7.726102358283518E-01,  1.865247335059126E+01,  5.591870833553251E+06, -8.566273178797992E-01,
2457345.500000000, A.D. 2015-Nov-19 00:00:00.0000,  4.944230159735680E+06,  2.438090070132405E+06,  2.708299324345440E+05, -4.732388272280268E-01, -8.191150359186725E-01, -7.572614779894611E-01,  1.841051534297425E+01,  5.519333647716963E+06, -8.229194468984750E-01,
2457346.500000000, A.D. 2015-Nov-20 00:00:00.0000,  4.903617940049142E+06,  2.368573588035807E+06,  2.060584942841828E+05, -4.671594898375027E-01, -7.902275911141743E-01, -7.421164305872834E-01,  1.817788741298773E+01,  5.449593548786852E+06, -7.918761668588304E-01,
2457347.500000000, A.D. 2015-Nov-21 00:00:00.0000,  4.863455585582688E+06,  2.301507991028115E+06,  1.425846536442935E+05, -4.627944080290938E-01, -7.624068195077243E-01, -7.272335138247907E-01,  1.795382819318312E+01,  5.382422284544067E+06, -7.634402426401582E-01,
2457348.500000000, A.D. 2015-Nov-22 00:00:00.0000,  4.823603616776228E+06,  2.236795124309495E+06,  8.038360523128510E+04, -4.599367466760995E-01, -7.357845323853667E-01, -7.126603794536956E-01,  1.773760308545987E+01,  5.317599628018400E+06, -7.374827543013868E-01,
