JDCT ,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2457342.500000000, A.D. 2015-Nov-16 00:00:00.0000,  9.394821412465198E+07,  1.112019820357988E+08,  4.752535473424934E+07, -2.481587955448963E+01,  1.540152221531266E+01,  6.268196203442622E+00,  5.108085925426661E+02,  1.531365635258863E+08, -2.095054987954537E+00,
2457343.500000000, A.D. 2015-Nov-17 00:00:00.0000,  9.179120652002218E+07,  1.125172344260632E+08,  4.806033522252409E+07, -2.511388257507018E+01,  1.504322175749566E+01,  6.115237610510969E+00,  5.102064230970942E+02,  1.529560376676658E+08, -2.083680437135759E+00,
2457344.500000000, A.D. 2015-Nov-18 00:00:00.0000,  8.960870463500330E+07,  1.138012939828571E+08,  4.858200366018300E+07, -2.540600299432071E+01,  1.467947790700905E+01,  5.960052214146610E+00,  5.096076217971825E+02,  1.527765215541117E+08, -2.071680620566082E+00,
2457345.500000000, A.D. 2015-Nov-19 00:00:00.0000,  8.740122240661924E+07,  1.150536935572174E+08,  4.909016905147909E+07, -2.569210940226763E+01,  1.431036432666698E+01,  5.802672636658512E+00,  5.090123693989813E+02,  1.525980693745246E+08, -2.059051707759048E+00,
2457346.500000000, A.D. 2015-Nov-20 00:00:00.0000,  8.516928510429633E+07,  1.162739724974926E+08,  4.958464327465197E+07, -2.597207089942977E+01,  1.393595775919637E+01,  5.643132784698469E+00,  5.084208477446297E+02,  1.524207356438063E+08, -2.045789994160931E+00,
2457347.500000000, A.D. 2015-Nov-21 00:00:00.0000,  8.291342928196125E+07,  1.174616769166397E+08,  5.006524119325187E+07, -2.624575718463498E+01,  1.355633805411613E+01,  5.481467857145153E+00,  5.078332397242859E+02,  1.522445751910469E+08, -2.031891913686938E+00,
2457348.500000000, A.D. 2015-Nov-22 00:00:00.0000,  8.063420272252762E+07,  1.186163599616119E+08,  5.053178076804062E+07, -2.651303864388495E+01,  1.317158818876006E+01,  5.317714350523396E+00,  5.072497292340616E+02,  1.520696431469138E+08, -2.017354054635747E+00,
2457349.500000000, A.D. 2015-Nov-23 00:00:00.0000,  7.833216437451993E+07,  1.197375820842199E+08,  5.098408316925691E+07, -2.677378644432328E+01,  1.278179428113359E+01,  5.151910062144524E+00,  5.066705011283688E+02,  1.518959949293654E+08, -2.002173183148731E+00,
2457350.500000000, A.D. 2015-Nov-24 00:00:00.0000,  7.600788428017545E+07,  1.208249113127432E+08,  5.142197288910227E+07, -2.702787263829943E+01,  1.238704559473403E+01,  4.984094092422075E+00,  5.060957411641473E+02,  1.517236862269315E+08, -1.986346276035706E+00,
2457351.500000000, A.D. 2015-Nov-25 00:00:00.0000,  7.366194349400140E+07,  1.218779235237338E+08,  5.184527785447502E+07, -2.727517028034979E+01,  1.198743453907685E+01,  4.814306848695074E+00,  5.055256359346043E+02,  1.515527729788481E+08, -1.969870559711816E+00,
2457352.500000000, A.D. 2015-Nov-26 00:00:00.0000,  7.129493399072979E+07,  1.228962027138946E+08,  5.225382954017042E+07, -2.751555355476552E+01,  1.158305667190745E+01,  4.642590052359624E+00,  5.049603727917913E+02,  1.513833113518474E+08, -1.952743547141554E+00,
2457353.500000000, A.D. 2015-Nov-27 00:00:00.0000,  6.890745856204204E+07,  1.238793412723972E+08,  5.264746308284201E+07, -2.774889790656790E+01,  1.117401070757829E+01,  4.468986749134651E+00,  5.044001397598917E+02,  1.512153577141615E+08, -1.934963064227650E+00,
2457354.500000000, A.D. 2015-Nov-28 00:00:00.0000,  6.650013070212188E+07,  1.248269402542059E+08,  5.302601739591059E+07, -2.797508016806276E+01,  1.076039853151864E+01,  4.293541320257414E+00,  5.038451254429438E+02,  1.510489686078584E+08, -1.916527262008048E+00,
2457355.500000000, A.D. 2015-Nov-29 00:00:00.0000,  6.407357448262396E+07,  1.257386096547705E+08,  5.338933528537872E+07, -2.819397867710294E+01,  1.034232521657086E+01,  4.116299491842804E+00,  5.032955189308030E+02,  1.508842007206510E+08, -1.897434617589887E+00,
