JDCT ,   , X, Y, Z, VX, VY, VZ, LT, RG, RR,
*******************************************************************************
$$SOE
2457342.500000000, A.D. 2015-Nov-16 00:00:00.0000,  5.070611666575616E+06,  2.662256362298130E+06,  4.731411228361048E+05, -5.030942659297880E-01, -9.103771121891170E-01, -8.036271249992198E-01,  1.916835124916852E+01,  5.746527136795598E+06, -9.318466311944794E-01,
2457343.500000000, A.D. 2015-Nov-17 00:00:00.0000,  5.027683486593087E+06,  2.584939547208017E+06,  4.043748943603698E+05, -4.910791912357736E-01, -8.793350960427870E-01, -7.880649351737288E-01,  1.890547386346444E+01,  5.667718479182762E+06, -8.928976445975921E-01,
2457344.500000000, A.D. 2015-Nov-18 00:00:00.0000,  4.985703465719102E+06,  2.510282742485980E+06,  3.369502366210597E+05, -4.811322080381886E-01, -8.488254063586403E-01, -7.725764946084673E-01,  1.865344998236963E+01,  5.592163620394649E+06, -8.565368333015595E-01,
2457345.500000000, A.D. 2015-Nov-19 00:00:00.0000,  4.944495840342886E+06,  2.438231853591109E+06,  2.708579472930243E+05, -4.731785054228158E-01, -8.190358140175622E-01, -7.572277103690356E-01,  1.841152271593847E+01,  5.519635650534031E+06, -8.228313956912818E-01,
2457346.500000000, A.D. 2015-Nov-20 00:00:00.0000,  4.903893097742053E+06,  2.368716746411589E+06,  2.060831876375486E+05, -4.671012367264843E-01, -7.901482646617165E-01, -7.420826386861654E-01,  1.817892394906218E+01,  5.449904294484418E+06, -7.917905489496688E-01,
2457347.500000000, A.D. 2015-Nov-21 00:00:00.0000,  4.863739769537803E+06,  2.301652217211936E+06,  1.426057959014173E+05, -4.627381903485828E-01, -7.623273958035612E-01, -7.271997004927112E-01,  1.795489230957911E+01,  5.382741298614020E+06, -7.633570599428692E-01,
2457348.500000000, A.D. 2015-Nov-22 00:00:00.0000,  4.823896362000542E+06,  2.236940130726271E+06,  8.040098648760174E+04, -4.598825341319997E-01, -7.357050204939289E-01, -7.126265483026042E-01,  1.773869319945147E+01,  5.317926435971441E+06, -7.374020104945375E-01,
2457349.500000000, A.D. 2015-Nov-23 00:00:00.0000,  4.784242909206542E+06,  2.174473026501836E+06,  1.944053591725466E+04, -4.582914352723878E-01, -7.103621723540626E-01, -6.983941009013254E-01,  1.752963934063304E+01,  5.255253665781880E+06, -7.137273148979555E-01,
2457350.500000000, A.D. 2015-Nov-24 00:00:00.0000,  4.744681328947011E+06,  2.114139222266266E+06, -4.030553226237193E+04, -4.577053788009854E-01, -6.863134583865619E-01, -6.845113077503019E-01,  1.732710888481424E+01,  5.194536562612101E+06, -6.920807525693147E-01,
2457351.500000000, A.D. 2015-Nov-25 00:00:00.0000,  4.705135669064914E+06,  2.055828918842108E+06, -9.886692462323737E+04, -4.578770012333737E-01, -6.635007289389443E-01, -6.709629649798802E-01,  1.713055713629272E+01,  5.135611830798635E+06, -6.721850220819058E-01,
2457352.500000000, A.D. 2015-Nov-26 00:00:00.0000,  4.665549682997045E+06,  1.999440230079104E+06, -1.562710712792519E+05, -4.586024734228978E-01, -6.418017216595525E-01, -6.577124739443045E-01,  1.693951840254316E+01,  5.078339859234647E+06, -6.537757349157346E-01,
2457353.500000000, A.D. 2015-Nov-27 00:00:00.0000,  4.625881961926343E+06,  1.944883798774461E+06, -2.125415789179624E+05, -4.597449109998670E-01, -6.210534853944655E-01, -6.447095080936708E-01,  1.675359691297716E+01,  5.022601998882635E+06, -6.366371408117802E-01,
2457354.500000000, A.D. 2015-Nov-28 00:00:00.0000,  4.586099704863528E+06,  1.892084995231886E+06, -2.676974781907205E+05, -4.612416644867747E-01, -6.010832397032405E-01, -6.319001822036269E-01,  1.657244922526305E+01,  4.968295288321805E+06, -6.206238912781677E-01,
2457355.500000000, A.D. 2015-Nov-29 00:00:00.0000,  4.546172612252131E+06,  1.840983511010042E+06, -3.217533315037170E+05, -4.630947459208237E-01, -5.817361284009103E-01, -6.192362399085773E-01,  1.639576311470071E+01,  4.915326124941860E+06, -6.056635657689544E-01,
2457356.500000000, A.D. 2015-Nov-30 00:00:00.0000,  4.506068121751395E+06,  1.791530984694347E+06, -3.747199938970553E+05, -4.653507759121295E-01, -5.628922290368238E-01, -6.066807162747845E-01,  1.622323818271776E+01,  4.863604451516411E+06, -5.917433871366298E-01,
2457357.500000000, A.D. 2015-Dec-01 00:00:00.0000,  4.465748511141532E+06,  1.743687698878838E+06, -4.266056847385140E+05, -4.680791855682263E-01, -5.444712737063829E-01, -5.942095412401702E-01,  1.605457156880353E+01,  4.813039472748525E+06, -5.788896259752356E-01,
2457358.500000000, A.D. 2015-Dec-02 00:00:00.0000,  4.425169716522671E+06,  1.697419291704156E+06, -4.774170578433824E+05, -4.713550391539035E-01, -5.264283631259352E-01, -5.818101524976362E-01,  1.588944964269137E+01,  4.763537164649668E+06, -5.671477978768481E-01,
2457359.500000000, A.D. 2015-Dec-03 00:00:00.0000,  4.384281337017028E+06,  1.652694052342991E+06, -5.271600803192268E+05, -4.752488368585576E-01, -5.087455122880483E-01, -5.694787118155203E-01,  1.572754469140509E+01,  4.714999281341185E+06, -5.565682385396779E-01,
